,61.0250625
Adam,38.9535416666667
Anya,8.08983333333333
Buffy,170.515395833333
Buffy [grins],12.0721041666667
Buffy [shrugs],1.06254166666667
Buffy [stands],1.215
Buffy [to Willow],1.3928125
Collins,26.466
Engleman,1.23727083333333
Faith,64.7889791666667
Forrest,4.65402083333333
Giles,42.8086458333333
Giles [to himself],1.41020833333333
Giles [yelling],1.30570833333333
Girl,3.58739583333333
Joyce,23.1087708333333
Mayor,1.36439583333333
Narrator/Giles,1.1913125
News announcer,10.7355416666667
Plainclothes officer,14.9178333333333
Policeman,4.03604166666667
Real Buffy,5.98020833333333
Riley,59.6079166666667
Riley [looks down],1.44508333333333
Smith,3.248
Smith [running away],1.19139583333333
Spike,33.0170833333333
Spike [angry],5.3896875
Tara,30.0809166666667
Tara [looks at Willow],2.50285416666667
Vampire,42.6613333333333
Weatherby,15.3356041666667
Willow,69.3079375
Willow [nods],0.514125
Willow [smiles],1.25525
Willow [to Buffy],0.419958333333333
Woman,1.74497916666667
Xander,6.13570833333333
