,S01E01,S01E02,S01E03,S01E04,S01E05,S01E06,S01E07,S01E08,S01E09,S01E10,S01E11,S01E12,S02E01,S02E02,S02E03,S02E04,S02E05,S02E06,S02E07,S02E08,S02E09,S02E10,S02E11,S02E12,S02E13,S02E14,S02E15,S02E16,S02E17,S02E18,S02E19,S02E20,S02E21,S02E22,S03E01,S03E02,S03E03,S03E04,S03E05,S03E06,S03E07,S03E08,S03E09,S03E10,S03E11,S03E12,S03E13,S03E14,S03E15,S03E16,S03E17,S03E18,S03E19,S03E20,S03E21,S03E22,S04E01,S04E02,S04E03,S04E04,S04E05,S04E06,S04E07,S04E08,S04E09,S04E10,S04E11,S04E12,S04E13,S04E14,S04E15,S04E16,S04E17,S04E18,S04E19,S04E20,S04E21,S04E22,S05E01,S05E02,S05E03,S05E04,S05E05,S05E06,S05E07,S05E08,S05E09,S05E10,S05E11,S05E12,S05E13,S05E14,S05E15,S05E16,S05E17,S05E18,S05E19,S05E20,S05E21,S05E22,S06E01E02,S06E03,S06E04,S06E05,S06E06,S06E07,S06E08,S06E09,S06E10,S06E11,S06E12,S06E13,S06E14,S06E15,S06E16,S06E17,S06E18,S06E19,S06E20,S06E21,S06E22,S07E01,S07E02,S07E03,S07E04,S07E05,S07E06,S07E07,S07E08,S07E09,S07E10,S07E11,S07E12,S07E13,S07E14,S07E15,S07E16,S07E17,S07E18,S07E19,S07E20,S07E21,S07E22
Total episode time (sec),2605.31,2701.26,2700.78,2704.07,2690.66,2691.76,2678.54,2688.63,2688.38,2689.77,2685.55,2685.53,2723.96,2641.38,2679.95,2681.29,2633.52,2635.6,2693.02,2646.54,2632.43,2559.1,2646.53,2618.2,2622.69,2620.67,2601.45,2646.57,2572.2,2552.9,2630.61,2499.83,2604.71,2609.5,2692.63,2608.88,2573.38,2651.77,2688.78,2662.29,2616.6,2655.31,2697.39,2690.55,2623.7,2645.82,2614.56,2625.4,2540.38,2612.56,2671.42,2648.64,2518.16,2574.85,2558.61,2577.31,2563.42,2471.73,2550.17,2455.75,2506.29,2532.53,2566.71,2569.47,2567.68,2568.32,2565.33,2568.32,2568.32,2527.32,2511.48,2571.51,2568.32,2570.67,2568.32,2541.92,2540.38,2566.71,2509.19,2491.16,2568.32,2552.9,2568.32,2569.47,2568.32,2510.21,2537.48,2567.68,2547.71,2565.33,2567.68,2566.71,2533.54,2562.44,2566.71,2565.33,2569.47,2566.71,2567.68,2566.71,3582.16,2455.75,2450.29,2449.18,2456.18,2877.4,2242.47,2386.65,2413.52,2459.53,2459.53,2461.48,2447.37,2440.42,2458.24,2497.31,2497.31,2497.31,2396.79,2443.6,2461.48,2407.58,2462.44,2463.28,2463.28,2463.28,2461.48,2469.55,2461.48,2406.27,2463.28,2463.28,2463.28,2463.28,2464.38,2465.92,2464.38,2466.65,2462.44,2462.44,2462.44,2463.28,2523.86
Total spoken time (sec),831.84,847.51,906.14,778.15,943.94,753.19,907.4,882.04,853.92,831.28,985.26,772.02,823.94,972.57,892.99,874.1,802.1,826.78,955.84,859.73,844.5,842.91,790.94,682.51,772.89,850.52,858.46,857.22,844.63,651.68,830.75,839.89,824.74,769.87,794.81,661.62,781.56,669.6,915.55,811.86,691.56,780.69,765.02,792.49,942.98,582.51,876.68,763.73,650.49,821.28,921.01,989.89,789.34,782.97,892.66,660.28,845.44,764.33,840.74,797.23,622.74,682.08,781.2,880.33,816.63,346.41,812.91,847.08,793.42,498.99,704.91,714.75,857.25,793,729.2,820.93,706.49,707.88,774.05,937.24,917.3,891.19,761.51,800.35,687.59,701.48,778.48,660.97,957.04,986.08,867.99,832.43,987.46,546.98,772.17,871.96,842.62,839.23,862.29,697.32,1124.59,594.6,764.54,778.97,750,1082.45,656.05,750.86,681.23,770.08,864.37,692.02,827.7,812.49,811.24,706.28,738.83,758.74,627.36,825.01,591.82,663.94,739.87,695.25,855.12,675.1,840.44,925.09,630.55,737.44,771.25,835.79,895.7,894.4,849.44,780.61,934.23,794.44,763.85,857.76,833.52,775.21,723.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Character speaking time (sec),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffy,256.55,174.24,222.13,193.29,321.37,181.11,251.92,218.59,211.72,195.67,209.38,176.93,193.92,219.91,197.12,174.57,149.74,210.09,253.97,210.68,192.02,188.28,178.49,180.95,185.34,103.66,176.56,123.31,150.48,167.87,135.16,159.23,132.88,191.96,197.98,164.97,275.04,182.58,276.55,258.12,159.60,147.19,83.07,201.60,214.54,179.20,78.14,231.89,139.93,76.15,145.47,313.06,188.49,231.83,204.24,116.98,301.26,279.01,173.72,169.31,105.94,114.91,75.96,222.40,250.50,38.89,220.03,165.53,149.36,103.42,214.33,192.24,206.29,54.71,131.05,136.00,144.67,128.56,181.49,191.58,129.26,240.68,237.30,105.02,121.94,106.27,124.67,135.61,170.18,217.06,140.98,185.90,252.13,78.97,109.69,155.40,166.57,161.19,75.38,136.83,5.02,63.58,165.88,251.86,93.36,104.04,104.09,127.37,150.89,226.14,237.68,140.18,173.89,193.14,112.35,150.15,128.03,134.41,99.95,111.26,119.47,160.74,137.04,116.82,226.55,103.16,233.79,121.73,115.82,174.36,138.48,117.77,165.23,129.44,175.88,171.96,247.45,114.32,122.08,182.38,72.27,136.65,190.33
Willow,74.88,80.64,83.72,48.15,52.93,126.45,81.59,111.17,68.81,90.78,52.03,65.03,108.47,97.11,52.24,92.81,114.58,162.14,88.24,93.22,64.33,54.47,48.68,50.55,79.36,80.69,146.99,35.36,86.45,86.94,168.41,88.63,77.55,66.23,75.27,77.55,87.91,79.74,106.75,82.75,89.01,108.44,105.94,65.98,114.28,26.64,54.21,40.58,42.84,350.63,58.84,126.83,109.03,41.06,95.06,43.58,92.15,124.67,46.16,161.53,107.24,182.26,116.54,204.80,155.40,63.64,115.90,73.63,151.76,36.37,50.23,70.98,87.52,85.42,156.53,78.03,115.65,76.86,91.47,68.97,91.03,87.99,28.34,66.54,10.24,24.63,129.24,13.64,190.74,26.49,44.14,34.75,52.77,92.44,72.54,62.15,129.47,53.07,106.15,52.39,257.94,134.87,96.75,23.08,74.83,23.02,79.78,127.66,180.21,101.21,124.62,42.81,89.34,43.87,65.34,111.12,66.45,95.81,71.56,161.63,146.62,57.28,37.71,163.56,84.64,56.93,64.83,75.29,69.73,64.83,56.36,77.11,91.74,2.95,61.12,93.78,38.29,14.33,32.22,28.01,47.76,56.28,49.27
Xander,62.45,98.79,95.60,147.24,71.33,118.97,71.21,95.30,74.49,94.05,85.89,134.13,145.53,83.17,57.97,214.83,77.76,105.74,32.54,64.44,109.44,67.05,116.66,121.46,73.43,110.02,121.76,223.91,39.02,84.92,65.89,143.45,48.38,81.79,71.03,74.45,27.58,42.36,52.61,28.06,93.66,92.56,81.35,42.28,62.72,16.94,312.81,24.35,39.19,32.98,48.51,76.36,70.34,75.59,81.71,64.14,118.88,36.57,60.04,165.75,148.05,39.05,66.20,53.58,64.44,26.11,83.04,41.54,50.46,25.27,60.53,6.14,0.64,153.40,14.23,86.67,56.91,91.03,96.01,72.53,332.88,23.76,15.57,62.45,12.99,47.64,46.52,107.34,94.24,38.38,40.79,45.72,84.32,55.33,32.94,94.11,23.88,49.04,37.38,48.65,218.31,80.07,73.58,36.28,48.27,61.83,62.31,28.39,22.99,97.64,64.97,15.84,83.05,58.12,109.68,101.62,90.46,71.03,58.44,110.57,59.39,40.17,105.65,93.38,66.19,159.73,100.52,0.00,63.41,103.09,48.24,55.09,95.52,31.47,82.06,33.11,43.55,3.47,64.71,28.81,12.69,62.89,39.87
Giles,118.94,136.65,155.33,127.58,203.04,111.85,87.23,180.45,147.96,110.61,131.91,120.87,108.53,120.45,75.06,112.06,88.59,67.74,55.78,219.35,195.44,103.18,68.06,60.55,78.38,100.84,103.16,85.17,106.95,77.64,121.52,43.19,82.59,37.12,43.25,70.02,81.71,76.91,23.53,89.06,85.12,27.54,90.84,65.95,119.01,120.22,98.64,44.83,77.23,31.15,52.48,95.35,35.95,66.52,47.24,57.46,36.41,105.59,84.88,55.48,20.85,24.59,24.83,123.01,115.26,49.37,63.58,224.99,64.62,37.38,32.48,44.11,27.05,123.29,30.22,55.86,58.89,124.80,96.43,79.32,87.76,22.91,84.03,81.52,22.22,91.33,30.71,29.87,66.45,130.54,62.64,15.06,41.89,6.83,35.81,64.83,48.77,45.72,52.01,98.17,61.32,0.00,91.05,62.06,61.36,120.45,82.45,3.41,0.00,0.00,2.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.31,119.39,38.34,25.54,2.57,0.00,0.00,0.00,0.00,0.00,6.32,133.57,68.81,5.04,36.02,101.05,4.77,0.00,151.07,15.15,54.53,25.95,61.12,38.72
Spike,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.21,0.00,0.00,35.54,68.19,0.00,77.99,89.39,0.00,0.00,53.46,66.02,0.00,13.49,27.88,0.00,27.33,0.00,14.95,68.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.12,0.00,0.00,0.00,66.96,97.34,104.32,19.52,80.07,72.24,58.33,16.74,17.44,38.41,23.46,55.68,45.56,183.77,80.19,13.64,41.21,45.95,12.39,145.90,15.54,24.33,291.62,48.35,10.47,64.42,79.61,54.21,114.41,245.60,56.58,0.00,69.22,135.12,31.51,56.25,77.10,47.53,78.83,71.62,16.04,50.88,46.45,121.64,89.77,142.03,71.33,68.08,18.65,108.07,67.14,67.19,27.29,70.62,98.79,98.29,27.17,35.98,12.75,24.38,166.28,63.61,21.98,19.19,12.36,1.86,21.89,5.87,13.03,10.79,31.86,65.86,37.76,92.18,28.98,112.74,56.48,38.36,135.76,45.98,31.95
Anya,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.53,0.00,0.00,0.00,0.00,0.00,0.00,91.24,0.00,0.00,0.00,33.93,72.98,0.00,0.00,0.00,44.64,33.14,0.00,0.00,0.00,47.53,32.02,15.39,0.00,17.94,22.61,8.33,0.00,8.09,0.62,113.72,8.93,16.96,10.03,36.58,33.04,29.85,87.37,10.35,35.52,35.01,7.65,37.83,12.39,63.32,179.35,32.19,21.56,1.44,42.98,55.31,42.89,40.62,32.73,31.81,14.21,77.93,126.71,56.22,66.25,27.83,77.99,82.48,83.49,34.08,21.15,36.04,75.13,19.23,123.22,33.74,132.89,4.18,166.20,41.68,21.81,90.69,64.71,16.87,58.96,2.05,4.18,149.09,59.04,1.92,68.51,35.18,36.41,62.36,43.94,40.46,35.74,73.41,59.69,5.78,2.60,40.28,23.08,54.45,29.32
